id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length,egocentric,charades_video
9VS22EGO,7879,Bathroom,6,7,Yes,A person holding a towel sneezes into it then sets it down on a counter next to a box.,cellphone;counter;towel,A person sneezes into a towel.,c153 0.00 3.10;c033 0.10 4.96;c036 5.50 4.96;c035 0.00 4.50;c153 0.80 4.96;c033 5.10 4.96;c036 5.00 4.96,14.75,Yes,MRKTD
ACK27EGO,P2J3,Entryway (A hall that is generally located at the entrance of a house),5,6,Yes,"A person is running into the room holding their phone. Then, laughing, the person looks into the mirror.",door;hair;mirror;phone,the person is speaking in the phone and walked towards the mirror and adjusted the hair and smiled in the mirror.,c149 11.70 32.08;c144 29.10 32.08;c094 22.70 32.08;c152 14.40 32.08;c015 28.40 32.08;c150 13.70 21.90;c096 15.20 22.70;c016 16.90 31.90;c006 18.70 32.08;c015 0.20 32.08;c150 0.00 5.70;c096 4.20 32.08,49.75,Yes,LGS4C
IUGA9EGO,ROBJ,Kitchen,6,7,Yes,The person threw the sandwich down with a look of disgust. The person grasped the edge of the sink and spit out their bite.,dish;food;sandwich;sink,A man is standing in a kitchen.  The man has taken a bite out of a sandwich and is bending over a sink.,c065 13.80 28.10;c068 11.70 28.10;c119 15.50 28.10;c118 18.50 24.40;c156 19.30 23.90;c063 19.00 24.40;c067 17.80 25.10;c065 0.00 4.90;c068 1.10 6.20;c119 0.00 7.70,26.08,Yes,WH1S5
6WEAJEGO,ROBJ,Living room,4,6,Yes,One person walks into the hall and throws a pillow at another person who is near the doorway eating.,dish;doorway;floor;food;pillow,"person enter in the room holding a pillow, and throw the pillow to a person that is sitting on the floor eating food, the person hold the pillow and throw it on the floor",c097 0.00 10.00;c126 13.20 21.50;c156 6.60 31.29;c076 0.00 20.30;c080 14.90 20.60;c152 14.10 18.60;c118 10.70 29.40;c061 5.70 23.90;c080 0.70 29.70;c152 3.80 27.00;c125 6.20 30.00,34.17,Yes,L8WFE
6S0HLEGO,BYF9,Bathroom,5,7,Yes,A person is washing their face at the sink. They drink from a glass of water. They look at the mirror and smile. Then they turn the doorknob and leave.,dish;door;glass;hands;mirror;sink;water,"A person is washing their face at a sink.  The person then looks at their reflection in the mirror, takes a drink, then walks out the bathroom.",c096 12.80 21.50;c094 13.50 17.80;c008 26.10 30.42;c097 27.00 30.42;c106 7.70 14.30;c141 25.80 30.42;c120 1.80 8.20;c108 10.30 14.60;c139 9.20 13.30;c107 9.00 17.20,31.88,Yes,DJ6ZW
AMO46EGO,2Q9D,Bathroom,7,7,Yes,"One person puts come clothes and a blanket in a cabinet, then starts undressing.",bath tub;blanket;cabinet;clothes;clothing;towel,The person is in the bathroom.  The person is taking stuff from the counter and sort of folding them and tossing them into a lower cabinet.  The person removes their jacket.,c114 0.00 18.50;c002 0.30 14.00;c001 3.60 18.10;c000 1.90 16.80;c003 0.00 8.60;c071 2.80 9.40;c155 16.50 23.29;c112 13.60 19.10;c113 0.00 4.60,24.96,Yes,9UU4H
HOA83EGO,CCI9,Bedroom,6,7,Yes,One person is tidying up the bag while another is working on the picture on the wall.,bag;clothes;picture;sofa/couch;wall,Two people are in a room.  One is putting a picture on the wall and wanting the other to look at the placement.  The other is wiping down a backpack and talking.,c088 0.00 27.70;c020 0.00 30.58;c086 0.00 15.30;c001 0.00 14.10;c084 0.00 30.58;c123 0.00 30.58;c021 11.30 19.40;c083 0.00 30.58,31.92,Yes,YFH0D
2G50VEGO,3L0S,Bathroom,7,7,Yes,A person opens the door walks into the bathroom drinking from a glass of water. The person then pours the rest of the water over themselves and pulls out a camera and starts talking selfies in the mirror.,camera;cup/glass/bottle;door;hair;mirror,PERSON DRINKING,c015 20.70 32.17;c096 15.50 32.17;c107 0.00 23.10;c152 13.30 22.10;c106 3.00 17.30;c109 16.90 22.80;c097 0.00 4.40;c141 0.00 5.90;c144 15.00 20.20;c087 23.90 32.17;c018 21.20 32.17;c017 19.60 32.17;c008 0.00 6.80,34.29,Yes,GIQEO
DWY4UEGO,3L0S,Laundry room,7,7,Yes,A person takes selfies while playing and holding a coffee cup and a book bag on a washing machine.,cell pone;cup;phone/camera,A person is standing holding a cell phone at arms length taking selfies.  The person is also holding a cup in the other hand.,c015 0.00 20.08;c016 0.00 20.08;c152 8.20 20.08;c087 0.00 20.08;c154 0.00 20.08,26.42,Yes,KFGEF
7HA8PEGO,ICRY,Closet / Walk-in closet / Spear closet,7,7,Yes,A person is grasping a blanket in one hand and a laptop in the other. They drop the blanket and laugh.,blanket;floor;laptop;towel,The person is in a room of some type with a laptop and blanket. The person looks back and forth between the two and finally drops the blanket on the floor and laughs.,c149 0.20 4.20;c126 0.00 30.17;c071 0.00 30.17;c074 20.90 30.17;c036 14.30 27.90;c149 24.40 30.17;c047 0.00 30.17;c152 26.60 30.17;c070 0.00 19.00;c126 14.60 19.20;c071 14.60 19.20,33.58,Yes,XLXJ3
T14UQEGO,2Q9D,Dining room,4,7,Yes,"A person is running a vacuum in the dining room, tidying up a little bit before dinner. They stoop and, picking up a blanket from the middle of the floor, throw the blanket towards the bedroom doorway.",blanket;floor;paper/notebook;papers;phone/camera;pillow;table;vacuum,"Person turns on vacuum and tidies floor. Person stops vacuuming and walks over to a table. Person tidies papers on the dining table, then walks over to a blanket on the floor. Person picks up the blanket and throws it on the floor.",c070 27.30 28.33;c009 20.70 26.70;c116 19.80 25.90;c071 27.80 28.33;c074 25.40 28.33;c117 18.00 28.33;c126 0.00 22.50;c127 0.00 18.80;c138 0.00 6.90;c115 19.20 25.40;c012 18.70 26.40;c073 27.50 28.33;c137 0.00 17.90;c087 18.20 25.20;c077 26.60 28.33,33.83,Yes,
LEUDREGO,PCAA,Living room,7,7,Yes,"A person holds a picture while taking a cup of coffee. The person contemplate the pictures and laughs the time in time. After, the puts on a jacket, grabs a laptop and walks away.",clothes;coffee;cup/glass/bottle;jacket;phone/camera;picture;table,"Person walks in and picks up a picture, holds a coffee mug, puts on a jacket, then walks out of the room.",c009 3.60 10.70;c088 0.10 14.40;c083 0.00 4.60;c107 1.10 10.50;c000 14.80 20.90;c149 5.30 13.50;c109 10.10 15.70;c087 3.10 13.30;c152 8.50 15.20;c085 7.40 14.20;c084 5.70 17.20;c148 14.80 23.90,24.67,Yes,
1A6R5EGO,ICRY,Bedroom,7,7,Yes,A person in the bedroom is drinking a glass of water while working on their laptop. They do not seem very happy and accidentally spill some water onto their bed.,bed;cup/glass/bottle;laptop;working,LAPTOP,c052 2.60 24.79;c106 0.00 5.90;c135 0.00 24.79;c107 12.80 21.70;c154 8.40 17.30;c052 26.00 24.79;c106 10.30 24.79;c135 3.80 16.10,35.17,Yes,85LEB
F0CM4EGO,BYF9,Bedroom,5,7,Yes,"A person is grasping a bag. They take some clothes and a towel out of the bag, and begin dressing.",bag;bed;clothes;towel,"person grabs a bag from the bed and takes out some clothes, then start dressing",c021 0.90 15.10;c002 8.50 22.50;c148 16.00 33.20;c023 0.00 33.50;c000 0.00 28.30;c001 0.00 28.10;c020 0.00 28.70;c033 9.80 14.40;c035 9.30 14.60;c034 9.30 14.70,31.79,Yes,1YH1Y
CYC8MEGO,71HI,Bedroom,4,4,Yes,"oine person is in the bedroom tidying the bedroom and sneezing, see under the bed and grasp a towell and throw it to a corner of the room, then grasp a camera under the bed and keep sneezing, see the camera and laugh like remembering something, then put the camera on a table near the bed and put a pillow that is on a chair in the bed.",clothes;floor;phone/camera;pillow;table,"The person is arranging her desk,removed some clothes on the table and kept them in a basket and walked away from the desk by looking in a phone",c126 12.00 19.70;c127 14.40 21.00;c077 33.60 34.08;c015 12.00 34.08;c152 21.10 34.08;c018 10.90 17.50;c003 3.40 9.10;c009 34.60 34.08;c000 0.00 20.70;c017 34.90 34.08;c153 10.10 17.50;c002 17.40 30.90;c001 18.30 30.70;c076 32.70 34.08;c149 26.00 34.08;c079 31.40 34.08;c009 31.20 34.08;c000 0.00 2.90;c000 4.90 10.20;c000 8.10 13.20;c017 32.50 34.08;c004 0.00 13.90,42.96,Yes,
44BSTEGO,X5EU,Bathroom,6,6,Yes,"The person starts laughing while she's washing a mirror because the person sees herself smiling back. The person looks down at the sink, shaking their head, then looks back up and smiles again, wondering how the person got so lucky.",bathtub;clothes;doorway;medicine;mirror;paper/notebook;phone/camera;shoe;sink,"A person walks into a bathroom, throws shoes in the bathtub looks in the mirror, and takes medicine off the counter.",c129 8.10 12.90;c015 0.00 13.21;c096 6.40 11.10;c003 4.40 9.20;c097 0.00 4.10;c128 8.40 13.21;c058 4.10 9.20;c087 0.00 13.21;c145 0.00 2.70,13.21,Yes,
0K09ZEGO,ROBJ,Living room,4,3,Yes,"One person grasps a book from a cabinet, then closes it. Then this person drinks coffee and laughs at the book.",book;chair;closet/cabinet;cup/glass/bottle;doorway;mug;shelf;tv,The person get a book in the drawer and sat in the chair while drinking an orange juice and reading at the same time.,c097 3.00 32.96;c106 8.20 32.96;c059 15.00 32.96;c027 17.80 32.96;c113 9.40 15.00;c149 28.20 32.96;c081 8.90 29.60;c032 27.00 32.96;c030 10.00 16.50;c026 14.50 21.50;c097 15.30 26.90;c106 15.80 26.60;c059 6.90 21.00;c027 5.80 15.20;c029 24.90 32.96;c113 5.30 10.90;c149 23.10 32.96,32.96,Yes,F207R
UWITAEGO,ICRY,Bedroom,6,7,Yes,"The person was sitting at his desk laughing at a book he was reading.  Despite the book being funny, the person grew tired of it and threw it on the table and decided to go to bed.",book;chair;clothes;table,The book was read by the person.The person laughed for sometimes.Then the person went to sleep on the bed.,c029 0.00 16.90;c059 0.00 20.70;c154 15.00 25.00;c009 12.90 24.20;c025 10.70 20.10;c011 9.00 19.30;c005 8.10 21.00;c032 8.70 19.60;c026 10.90 20.50;c152 9.80 20.80,30.62,Yes,ZLWXE
EUOB2EGO,7879,Bedroom,6,6,Yes,"A person is lying on a bed and laughing at a book they're reading. The sit up, pick up some clothes, and dress.",bed;blanket;book;clothes;magazine;pillow;sofa/couch;sweater,"A person laying in bed, picks up a magazine and reads it for a minute. Then the person picks up and puts on a sweater",c028 4.00 8.50;c027 0.00 4.10;c134 0.00 8.40;c000 8.40 14.20;c030 0.00 4.10;c002 6.00 11.20;c032 0.00 7.50;c135 7.00 23.00;c122 1.60 23.00;c073 0.00 11.20;c078 3.10 23.00;c149 4.80 23.00;c148 10.00 23.00;c025 0.00 9.70;c135 3.60 12.40;c026 0.00 8.30,25.04,Yes,8XC4G
15FBTEGO,5LWB,Living room,5,7,Yes,Two people are snuggling on a couch in between several pillows. One person stands up to grab some food from a nearby cabinet.,blanket;floor;food;pillow;sofa;television,Two people sit on a sofa and cuddle with pillows while watching tv and eating something.,c122 0.00 19.00;c131 0.00 17.30;c078 0.00 16.80;c154 23.00 21.42;c151 23.00 21.42;c152 21.70 21.42;c132 0.00 7.80;c123 0.00 18.40;c061 19.00 21.42;c156 26.60 21.42;c077 12.40 21.42;c063 5.40 18.70;c076 12.50 19.30;c071 26.00 21.42;c125 23.60 21.42;c075 23.20 21.42;c151 16.40 21.42;c152 12.80 20.50,29.58,Yes,5RET1
1O0U7EGO,ECGS,Bedroom,7,7,Yes,"person is lying on bed playing with a teddy bear, the person throw the bear against the television and stands to grasp a medicine, take the medicine and then drink from a glass of water while see outside the window.",bed;cup/glass/bottle;floor;food;medicine;table;window,A person is in bed throwing a teddy bear and gets a drink by the window,c129 16.60 23.20;c109 30.30 36.88;c012 15.50 36.88;c107 22.80 36.88;c106 22.30 36.88;c110 21.20 27.20;c126 5.50 12.00;c134 0.00 11.30;c092 21.20 36.70;c154 13.30 36.88;c014 23.60 36.88,36.46,Yes,
CFW9NEGO,ICRY,Bathroom,4,7,Yes,"A person in the bathroom is undressing by taking their jacket off. They place their jacket in a bag, and pick up a pillow on the floor. They start drinking from a glass of water.",bag;clothes;glass;jacket;mirror;pillow,"A person in a bathroom takes off their jacket, folds it and puts it on the toilet lid. The person then picks up a pillow and drinks from a glass.",c096 0.00 3.60;c079 13.60 18.90;c155 0.00 3.50;c076 15.90 29.00;c106 19.20 29.00;c001 4.50 18.30;c022 8.40 17.60;c000 2.60 13.90,26.92,Yes,EDKXT
7YP1SEGO,UN1T,Other,6,6,Yes,A person is pouring a drink into a glass while laughing at a picture that was found on a phone.,chair;glass;phone;pitcher;table;water,The person in the video appears to be looking at their phone while pouring water into a glass. Not entirely sure if they are recording themselves while pouring the water.,c059 0.00 25.75;c108 1.20 13.10;c016 7.70 25.75;c011 0.00 25.75;c110 0.00 25.75;c152 0.00 25.75;c109 0.00 25.75;c107 0.00 25.75;c017 0.00 25.75;c154 16.20 24.50;c010 13.20 21.90;c151 10.50 19.50;c015 13.20 21.20,28.17,Yes,11TTU
C0X25EGO,BYF9,Kitchen,6,6,Yes,A person is pouring a glass of juice from the refrigerator and then washing a table in the kitchen.,glass;refrigerator;stool;table,A person opened the refrigerator and retrieved a drink.,c143 0.40 6.90;c108 12.00 19.00;c109 8.00 13.00;c142 6.20 11.10;c009 8.00 13.50;c143 6.50 13.90;c109 10.40 17.20;c142 7.70 20.30;c009 11.40 22.20;c110 0.00 2.60,29.75,Yes,B6487
84AJKEGO,ICRY,Bedroom,7,7,Yes,A person is throwing a broom to the floor.  The person then starts playing with a bag.,bag;bed;cup/glass/bottle;food;sandwich,THE PERSON   USE PLASTIC  TO PLAY   WITH AS AND USE MOP     TO CLEAN   FLOOR,c020 1.10 24.92;c154 0.00 24.92;c065 4.40 18.50;c156 7.20 21.80;c134 10.80 22.30;c106 7.20 16.90,29.79,Yes,PBV4T
4CMJ4EGO,T7C3,Kitchen,6,6,Yes,"person is in kitchen cooking something in the stove, walk to grasp an ingredient that is in a bag, the person wash some dishes and put them next to stove to serve the food, the person start laughin and take out the shoes.",closet/cabinet;dish;floor;food;plate;shoe;stove and cabinet;towel,A person touch the stove then get a plate out the cabinet then walks to the sink and washes the plate with a towel.,c118 13.20 21.10;c113 11.10 15.90;c121 11.90 22.80;c120 12.70 19.00;c126 26.20 31.50;c119 10.00 21.70;c057 23.20 34.00;c147 6.70 22.70;c112 19.00 24.30;c063 4.10 10.00,32.00,Yes,
IGFDXEGO,3L0S,Bathroom,5,7,Yes,"A person walked into the bathroom and turned on the light.  The person was smiling in the mirror as the person was throwing towels over the shower rack, right before getting dressed.",clothes;doorway;floor;hair;light;mirror;towel,"person turn on the light on the bathroom, put a towel on a rack and start dressing in clothes",c000 10.00 17.40;c144 21.40 26.25;c148 9.70 18.30;c034 5.40 14.00;c002 0.00 16.10;c096 0.00 5.60;c094 0.00 4.90;c152 0.30 5.00;c036 5.70 10.90;c105 28.00 26.25;c126 8.00 26.25;c003 9.90 21.30;c000 3.40 15.90;c104 0.00 4.40;c035 0.00 6.10;c033 2.10 12.30;c097 0.10 8.60,28.54,Yes,AQ5M6
4IL5ZEGO,7879,Bedroom,6,7,Yes,A person is running to the door.  A person is holding a bag.,bag;doorway,A person running through a room.,c020 0.00 3.21;c150 0.00 3.21;c152 0.00 3.21;c022 0.00 3.21;c023 1.80 3.21;c021 0.00 3.21;c097 1.00 3.21,11.92,Yes,7R4YS
R2AAAEGO,2CJ3,Living room,6,6,Yes,"A person is holding a pillow and laughing. Taking the broom, the person begins running out of the room.",broom;chair;pillow;table,"A person is sitting on a chair, laughing and smiling while holding a pillow. the person then puts the pillow away and takes off running.",c078 0.00 12.50;c154 0.10 9.60;c098 0.00 10.20;c149 0.00 8.90;c011 0.00 11.90;c076 0.00 11.00;c100 0.00 23.60;c059 0.00 10.20,21.75,Yes,SXFG6
GW9YZEGO,T7C3,Bedroom,6,7,Yes,A person is walking towards the bed and picks up a book out of a box that is sitting on the bed. They place the box on a shelf and throw the book on the floor as they watch it fall to the floor smiling.,bed;book;box;doorway;dresser;floor;table,"A person walk in a room.  Goes to a bed and then the person picks up a box, opens the box and takes out a book.  They then put the box on the dresser and throws the book on the ground.",c116 19.50 24.70;c117 7.70 13.00;c044 7.90 13.50;c009 12.40 18.40;c045 12.40 18.50;c025 14.40 20.10;c030 5.80 12.60;c097 0.00 4.20;c031 9.10 16.30;c032 5.30 13.20;c043 7.90 14.10;c027 9.00 20.70;c042 11.20 19.10;c039 7.70 13.00;c126 19.10 25.30;c032 15.00 23.30;c028 19.10 25.30;c041 4.00 9.30;c026 8.10 26.70,24.62,Yes,
7MN9SEGO,5LWB,Bedroom,6,7,Yes,A person is running with a book while another person is smiling at a camera.,bed;book;doorway;phone,"A person standing in a room playing on a phone, while another person runs in and jumps on the bed.",c152 20.90 20.46;c016 0.00 20.46;c026 1.80 14.60;c097 2.60 8.20;c150 2.30 8.70;c015 0.00 20.46;c019 0.00 20.46;c115 0.00 20.46,23.96,Yes,MXW4N
UL9Z5EGO,OUKK,Living room,7,7,Yes,"The person flings open the door and runs into the recreation room.  Grasping a sandwich and a blanket in their hands, they check the television to see if they made it before the show started.",blanket;chair;cloth;door;food;sandwich;sofa/couch;television,"A person just came through the door, a person turned the camera, a person is holding a cloth, a person is sitting.",c141 0.00 3.10;c123 11.70 17.10;c067 20.20 20.67;c151 10.80 16.40;c061 12.20 20.67;c150 5.00 17.20;c097 1.90 10.90;c070 7.00 14.70;c008 14.20 20.67;c132 11.00 20.67;c154 22.00 20.67;c006 2.00 8.30,25.04,Yes,XS6PF
DOJODEGO,PCAA,Closet / Walk-in closet / Spear closet,7,7,Yes,"A person is tidying and picks up a towel from the floor. They put it in a box, and then close it and put it away.",box;closet/cabinet;clothes;doorway;floor;shoes;towel,A person walks in front of the closet and places shoes in the closet,c039 11.80 17.00;c040 10.20 17.80;c001 9.30 15.40;c002 4.20 9.70;c041 11.70 16.60;c034 13.40 19.80;c042 18.70 24.90;c043 12.10 17.40;c114 18.60 24.90;c000 0.00 14.10;c037 0.40 13.50;c033 0.30 15.40;c154 0.00 8.90;c035 0.00 9.60;c127 0.70 9.40;c001 7.50 28.50;c002 7.90 28.50;c041 10.90 28.50;c097 17.90 28.40;c039 14.60 20.70;c004 6.10 19.20;c040 12.30 23.50,26.46,Yes,VXM6A
PAB18EGO,P6LJ,Kitchen,6,6,Yes,A person is in their kitchen and snuggling with a book while sitting on a table.  They leave the table and laugh as they go over and look at the light that is in the refrigerator.,book;counter;light;paper;pillow;refrigerator;table,"A person walking to a counter, holding some papers and sitting on the counter top, then opening the refrigerator.",c032 12.00 19.40;c150 22.40 28.90;c010 6.50 11.10;c030 9.50 15.50;c151 2.00 10.90;c143 19.00 25.10;c027 11.20 15.50;c154 15.60 20.00;c029 6.70 16.10;c117 9.80 16.40;c142 20.50 29.20;c104 0.00 17.20;c011 0.00 12.00;c078 16.00 29.50;c028 0.00 26.60;c011 6.50 19.70;c028 10.40 17.90,27.42,Yes,
GCQDHEGO,XH2Y,Bedroom,7,7,Yes,"A laptop sits on the cabinet a person is walking in, sneezing then is seen grasping the laptop and lying down on the sofa.",bed;cabinet;laptop;sofa/couch,A person is standing near the cabinet and sneezes then takes the laptop on the desk and hugs it while lying on the bed.,c151 6.40 14.70;c050 4.60 20.00;c047 7.20 20.00;c048 5.50 20.00;c049 6.80 20.00;c153 12.90 20.00;c123 12.70 20.00,19.96,Yes,UYJVE
3HWHVEGO,RLWG,Kitchen,3,7,Yes,"A person is eating food at the kitchen table. They are smiling at the comedy movie that is on the television, as well.",food;plate;television,"a person is standing in the kitchen and also looking at the television, a person is eating food, a person is smiling.",c152 14.20 32.00;c149 13.20 32.00;c132 9.30 16.40;c132 19.00 24.50;c063 0.00 8.50;c156 1.80 9.10;c061 0.60 9.00;c152 21.20 29.50;c131 24.30 32.00,33.08,Yes,QJIAV
MYKZOEGO,UN1T,Bedroom,5,6,Yes,"A person is throwing pictures on the bed, before grabbing one of the pictures and smiling.  They decide to put the picture on the night stand near the bed.  They sit on the bed and look at pictures on their camera.",bed;cellphone;phone/camera;picture;sofa/couch;table,"person is throwing pictures on a bed, then sits on the bed and start watching a video on it cellphone",c086 12.50 20.00;c088 12.20 21.00;c015 12.30 22.30;c084 14.00 22.20;c149 8.80 19.70;c016 22.30 28.62;c123 22.00 28.62;c083 10.00 15.70;c085 8.80 19.20;c009 17.80 25.30;c152 9.20 16.70;c151 0.00 28.62;c086 9.20 28.62,33.33,Yes,
HLI6XEGO,U259,Bedroom,5,5,Yes,One person is sitting on a pillow drinking when another person takes a bag from the doorway.,bag;bed;doorway;glass;medicine,"person is sitting in bed drinking from a glass of water, another person walk through the doorway holding a bag",c128 3.00 7.29;c129 1.30 7.29;c106 0.00 7.29;c022 0.80 7.29;c023 0.00 7.29;c107 0.00 7.29;c097 0.00 5.00;c020 0.00 7.29;c135 0.00 7.29,7.38,Yes,7KAVM
GTWBTEGO,X5EU,Kitchen,7,7,Yes,"one person in the kitching snuggling with a pile of clothes, then the clothes makes the person sneezes and put the clothes on the table, then go to the cabinet and grab a glass of water and drink, then the person will leave the room but stumbles with a box that is in the floor and kick it to other part of the kitchen.",clothes;door;floor;medicine;mirror;shoe,nothing,c054 4.60 9.90;c128 7.90 13.21;c126 4.40 9.30;c001 4.70 9.70;c097 0.00 3.90;c003 4.50 8.90;c058 4.00 8.90;c096 6.50 11.40,13.21,Yes,
2MHJMEGO,BYF9,Stairs,7,6,Yes,A smiling person awakens on the stairs holding a towel and a bag.,blanket;stairs;towel;wall,A person is sleeping on the stairs and then wakes up.,c146 11.80 27.50;c033 0.00 27.50;c070 0.00 14.20;c072 0.00 15.10,33.96,Yes,W75CV
2VIT4EGO,OUKK,Home Office / Study (A room in a house used for work),7,7,Yes,Person is grasping a pillow while vacuuming the floor. Person then takes homework from the desk and puts it in a bag.,bag;desk;floor;paper/notebook;papers;pillow;vacuum,The person above was vacuuming the floor when the person picked up the bag and started to fill it with paper from the desk. The entire time the person was doing this the person had a pillow in their arm.,c127 12.80 20.00;c116 18.90 31.40;c117 17.50 32.50;c076 0.00 32.50;c127 0.00 15.60;c116 20.10 26.20;c137 0.00 15.30;c020 14.30 32.50,30.46,Yes,1WEDJ
8Y29AEGO,ECGS,Bathroom,7,6,Yes,"A person in a bathroom gasping dishes washes them in the sink. The person begins tidying up their bathroom, grabs a pile of clothes and leaves.",clothes;dish;doorway;floor;glass;sink,"person is washing a glass on the sink then wash their hands and tidies the area, grab some clothes from the floor and leaves the room",c097 28.20 33.20;c002 24.10 30.20;c004 22.20 28.10;c107 0.70 11.30;c121 8.00 16.80;c000 20.70 35.20;c118 0.00 23.40,33.17,Yes,35P3Q
